Neuron name,Cell type,FlyWire Coordinates,Codex Root ID
WV-WV-1_1,WV-WV-1,[133609  82755   5074],720575940623322877
WV-WV-1_2,WV-WV-1,[132942  84290   4984],720575940622123981
WV-WV-1_3,WV-WV-1,[132191  87461   4915],720575940635330204
WV-WV-2_1,WV-WV-2,[133206  85176   5147],720575940605095346
WV-WV-2_2,WV-WV-2,[131550  83486   5265],720575940634571383
WV-WV-2_3,WV-WV-2,[128711  88629   5199],720575940620835327
WV-WV-2_4,WV-WV-2,[131147  83857   5169],720575940625345328
WV-WV-2_5,WV-WV-2,[132956  75199   5668],720575940621148660
WV-WV-2_6,WV-WV-2,[132865  81467   5177],720575940618342966
WV-WV-3_1,WV-WV-3,[129284  88337   4812],720575940639811469
WV-WV-3_2,WV-WV-3,[133624  89026   4705],720575940603533246
WV-WV-3_3,WV-WV-3,[131425  89771   4990],720575940632945177
WV-WV-3_4,WV-WV-3,[131911  88077   4665],720575940627201579
WV-WV-3_5,WV-WV-3,[129090  88642   4964],720575940621717469
WV-WV-3_6,WV-WV-3,[132523  88721   4999],720575940605214636
WV-WV-3_7,WV-WV-3,[131607  88377   4817],720575940604201830
WV-WV-4_1,WV-WV-4,[133282  82455   5312],720575940609513841
WV-WV-4_2,WV-WV-4,[132177  87803   5104],720575940641545888